case_id,family,role,cracks,L_m,b_m,h_m
b004_0181,merged_b004_0181,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0182,merged_b004_0182,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0183,merged_b004_0183,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0185,merged_b004_0185,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
b004_0186,merged_b004_0186,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0187,merged_b004_0187,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0188,merged_b004_0188,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0189,merged_b004_0189,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0190,merged_b004_0190,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0191,merged_b004_0191,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0192,merged_b004_0192,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0193,merged_b004_0193,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0194,merged_b004_0194,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0195,merged_b004_0195,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0196,merged_b004_0196,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0197,merged_b004_0197,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0198,merged_b004_0198,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0204,merged_b004_0204,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0205,merged_b004_0205,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0206,merged_b004_0206,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0208,merged_b004_0208,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0209,merged_b004_0209,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0210,merged_b004_0210,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0213,merged_b004_0213,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0215,merged_b004_0215,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0217,merged_b004_0217,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0218,merged_b004_0218,quarantine,2,1.5,0.14000000059604645,0.20000000298023224
b004_0219,merged_b004_0219,quarantine,7,1.5,0.14000000059604645,0.20000000298023224
b004_0220,merged_b004_0220,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0221,merged_b004_0221,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0222,merged_b004_0222,quarantine,1,1.5,0.14000000059604645,0.20000000298023224
b004_0224,merged_b004_0224,quarantine,6,1.5,0.14000000059604645,0.20000000298023224
b004_0225,merged_b004_0225,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0226,merged_b004_0226,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0227,merged_b004_0227,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0228,merged_b004_0228,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0229,merged_b004_0229,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0231,merged_b004_0231,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0232,merged_b004_0232,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0233,merged_b004_0233,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0234,merged_b004_0234,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0235,merged_b004_0235,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0236,merged_b004_0236,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0237,merged_b004_0237,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0238,merged_b004_0238,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0240,merged_b004_0240,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0241,merged_b004_0241,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0242,merged_b004_0242,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0245,merged_b004_0245,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0246,merged_b004_0246,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0247,merged_b004_0247,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0249,merged_b004_0249,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0252,merged_b004_0252,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0253,merged_b004_0253,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0254,merged_b004_0254,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0255,merged_b004_0255,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0257,merged_b004_0257,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0258,merged_b004_0258,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0259,merged_b004_0259,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0260,merged_b004_0260,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0261,merged_b004_0261,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0263,merged_b004_0263,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0264,merged_b004_0264,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0265,merged_b004_0265,quarantine,1,1.5,0.14000000059604645,0.20000000298023224
b004_0266,merged_b004_0266,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0267,merged_b004_0267,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0268,merged_b004_0268,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0269,merged_b004_0269,quarantine,5,1.5,0.14000000059604645,0.20000000298023224
b004_0270,merged_b004_0270,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0272,merged_b004_0272,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0273,merged_b004_0273,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0274,merged_b004_0274,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0275,merged_b004_0275,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0276,merged_b004_0276,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0277,merged_b004_0277,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0278,merged_b004_0278,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0279,merged_b004_0279,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0280,merged_b004_0280,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0282,merged_b004_0282,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0283,merged_b004_0283,quarantine,6,1.5,0.14000000059604645,0.20000000298023224
b004_0284,merged_b004_0284,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0285,merged_b004_0285,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0286,merged_b004_0286,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0287,merged_b004_0287,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0288,merged_b004_0288,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0291,merged_b004_0291,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0292,merged_b004_0292,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0293,merged_b004_0293,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
b004_0294,merged_b004_0294,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0295,merged_b004_0295,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0296,merged_b004_0296,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0297,merged_b004_0297,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0298,merged_b004_0298,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0300,merged_b004_0300,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0301,merged_b004_0301,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0302,merged_b004_0302,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0303,merged_b004_0303,quarantine,7,1.5,0.14000000059604645,0.20000000298023224
b004_0304,merged_b004_0304,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0307,merged_b004_0307,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0308,merged_b004_0308,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0309,merged_b004_0309,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
b004_0310,merged_b004_0310,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0311,merged_b004_0311,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0312,merged_b004_0312,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
b004_0313,merged_b004_0313,quarantine,4,1.5,0.14000000059604645,0.20000000298023224
b004_0314,merged_b004_0314,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0315,merged_b004_0315,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0317,merged_b004_0317,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0318,merged_b004_0318,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0319,merged_b004_0319,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0320,merged_b004_0320,quarantine,4,1.5,0.14000000059604645,0.20000000298023224
b004_0321,merged_b004_0321,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0322,merged_b004_0322,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0325,merged_b004_0325,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
b004_0326,merged_b004_0326,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0327,merged_b004_0327,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0328,merged_b004_0328,quarantine,4,1.5,0.14000000059604645,0.20000000298023224
b004_0332,merged_b004_0332,quarantine,7,1.5,0.14000000059604645,0.20000000298023224
b004_0333,merged_b004_0333,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0334,merged_b004_0334,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0335,merged_b004_0335,quarantine,4,1.5,0.14000000059604645,0.20000000298023224
b004_0336,merged_b004_0336,quarantine,1,1.5,0.14000000059604645,0.20000000298023224
b004_0337,merged_b004_0337,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0338,merged_b004_0338,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0339,merged_b004_0339,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0341,merged_b004_0341,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0342,merged_b004_0342,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0343,merged_b004_0343,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0344,merged_b004_0344,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0345,merged_b004_0345,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0346,merged_b004_0346,quarantine,4,1.5,0.14000000059604645,0.20000000298023224
b004_0347,merged_b004_0347,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0348,merged_b004_0348,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0349,merged_b004_0349,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
b004_0350,merged_b004_0350,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0351,merged_b004_0351,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0354,merged_b004_0354,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0355,merged_b004_0355,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0356,merged_b004_0356,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0357,merged_b004_0357,quarantine,2,1.5,0.14000000059604645,0.20000000298023224
b004_0358,merged_b004_0358,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0360,merged_b004_0360,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0361,merged_b004_0361,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0362,merged_b004_0362,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0365,merged_b004_0365,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0366,merged_b004_0366,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0367,merged_b004_0367,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0368,merged_b004_0368,quarantine,3,1.5,0.14000000059604645,0.20000000298023224
b004_0369,merged_b004_0369,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0370,merged_b004_0370,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0371,merged_b004_0371,quarantine,7,1.5,0.14000000059604645,0.20000000298023224
b004_0373,merged_b004_0373,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0374,merged_b004_0374,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0376,merged_b004_0376,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0377,merged_b004_0377,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0378,merged_b004_0378,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0379,merged_b004_0379,quarantine,6,1.5,0.14000000059604645,0.20000000298023224
b004_0380,merged_b004_0380,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0381,merged_b004_0381,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0382,merged_b004_0382,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0384,merged_b004_0384,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0385,merged_b004_0385,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0386,merged_b004_0386,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0387,merged_b004_0387,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0388,merged_b004_0388,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0390,merged_b004_0390,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0391,merged_b004_0391,quarantine,1,1.5,0.14000000059604645,0.20000000298023224
b004_0393,merged_b004_0393,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0396,merged_b004_0396,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0397,merged_b004_0397,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0398,merged_b004_0398,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0399,merged_b004_0399,train,6,1.5,0.14000000059604645,0.20000000298023224
b005_0000,merged_b005_0000,train,6,1.5,0.14000000059604645,0.20000000298023224
b005_0001,merged_b005_0001,train,2,1.5,0.14000000059604645,0.20000000298023224
b005_0002,merged_b005_0002,train,5,1.5,0.14000000059604645,0.20000000298023224
b005_0003,merged_b005_0003,train,2,1.5,0.14000000059604645,0.20000000298023224
b005_0004,merged_b005_0004,count,13,1.5,0.14000000059604645,0.20000000298023224
b005_0005,merged_b005_0005,train,1,1.5,0.14000000059604645,0.20000000298023224
b005_0006,merged_b005_0006,train,10,1.5,0.14000000059604645,0.20000000298023224
b005_0007,merged_b005_0007,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
